sql,python,excel,power bi,tableau,azure,snowflake,databricks,spark,git
False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True
True,True,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True
False,False,True,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,True
True,True,True,True,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
