requisition_id,job_title,location,city,province,employment_type,salary,posting_date,company,job_description,apply_url
Req184496,Delivery Coordinator,ON - Vaughan,Vaughan,Ontario,Full Time,,1781901453,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/VAUGHAN-DC---7275/Delivery-Coordinator_Req184496/apply?source=Careers.Homedepot.ca
Req185820,Direct Fulfillment Analyst (Appliances),ON - Vaughan,Vaughan,Ontario,Other,,1783363036,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/VAUGHAN-DC---7275/Direct-Fulfillment-Analyst--Appliances-_Req185820/apply?source=Careers.Homedepot.ca
Req188390,Business Analyst,ON - Vaughan,Vaughan,Ontario,Full Time,,1785350252,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/VAUGHAN-DC---7275/Business-Analyst_Req188390/apply?source=Careers.Homedepot.ca
Req188106,General Maintenance Associate (S3) : 5:00am - 5:30pm / Friday to Sunday (VAUGHAN DC),ON - Vaughan,Vaughan,Ontario,Full Time,,1785533861,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/VAUGHAN-DC---7275/General-Maintenance-Associate--S3----5-00am---5-30pm---Friday-to-Sunday---VAUGHAN-DC-_Req188106/apply?source=Careers.Homedepot.ca
Req187858,Plumbing/Electrical Sales Part Time- BRAMPTON E,ON - Brampton,Brampton,Ontario,Part Time,,1785271041,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-EAST-STORE---7239/Plumbing-Electrical-Sales-Part-Time--BRAMPTON-E_Req187858/apply?source=Careers.Homedepot.ca
Req187859,Pro Account Sales Associate : Full Time (BRAMPTON EAST),ON - Brampton,Brampton,Ontario,Full Time,,1785285439,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-EAST-STORE---7239/Pro-Account-Sales-Associate---Full-Time--BRAMPTON-EAST-_Req187859/apply?source=Careers.Homedepot.ca
Req187860,Merchandising Associate : Part Time (BRAMPTON EAST),ON - Brampton,Brampton,Ontario,Part Time,,1785285439,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-EAST-STORE---7239/Merchandising-Associate---Part-Time--BRAMPTON-EAST-_Req187860/apply?source=Careers.Homedepot.ca
Req188194,Front End Associate : Part Time (BRAMPTON EAST),ON - Brampton,Brampton,Ontario,Part Time,,1785285439,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-EAST-STORE---7239/Front-End-Associate---Part-Time--BRAMPTON-EAST-_Req188194/apply?source=Careers.Homedepot.ca
Req188393,Sales Associate Part Time - BRAMPTON S,ON - Brampton,Brampton,Ontario,Part Time,,1785346650,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-STORE---7006/Sales-Associate-Part-Time---BRAMPTON-S_Req188393/apply?source=Careers.Homedepot.ca
Req188394,Overnight Freight Associate Part Time - BRAMPTON S,ON - Brampton,Brampton,Ontario,Part Time,,1785346650,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-STORE---7006/Overnight-Freight-Associate-Part-Time---BRAMPTON-S_Req188394/apply?source=Careers.Homedepot.ca
Req186993,"Service Desk Associate "" Part Time (BOLTON)",ON - Bolton,Bolton,Ontario,Part Time,,1785544651,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BOLTON-STORE---7269/Service-Desk-Associate-Part-Time----BOLTON_Req186993/apply?source=Careers.Homedepot.ca
Req188635,Merchandising Associate : Part Time (MISSISSAUGA BRITANNIA),ON - Mississauga,Mississauga,Ontario,Part Time,,1785541058,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/MISSISSAUGA-BRITANNIA-STORE---7132/Merchandising-Associate---Part-Time--MISSISSAUGA-BRITANNIA-_Req188635/apply?source=Careers.Homedepot.ca
Req180412,Senior Software Developer (Askuity division),ON - Toronto,Toronto,Ontario,Full Time,,1778769460,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/ASKUITY-OFFICE-TORONTO---2595/Senior-Software-Developer--Askuity-division-_Req180412/apply?source=Careers.Homedepot.ca
Req181849,Scrum Master (Askuity division),ON - Toronto,Toronto,Ontario,Full Time,,1779896282,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/ASKUITY-OFFICE-TORONTO---2595/Scrum-Master--Askuity-division-_Req181849/apply?source=Careers.Homedepot.ca
Req185162,"Manager, Human Resources (Askuity division)",ON - Toronto,Toronto,Ontario,Full Time,,1782481049,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/ASKUITY-OFFICE-TORONTO---2595/Manager--Human-Resources--Askuity-division-_Req185162/apply?source=Careers.Homedepot.ca
Req188375,"Manager, Data Science (Askuity division)",ON - Toronto,Toronto,Ontario,Full Time,,1785346650,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/ASKUITY-OFFICE-TORONTO---2595/Manager--Data-Science--Askuity-division-_Req188375/apply?source=Careers.Homedepot.ca
Req186556,Freight Associate : Part Time *MISSISSAUGA S*,ON - Mississauga,Mississauga,Ontario,Part Time,,1785602255,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/MISSISSAUGA-SOUTH-STORE---7112/Freight-Associate---Part-Time--MISSISSAUGA-S-_Req186556-1/apply?source=Careers.Homedepot.ca
Req188321,Sales Associate : Part Time (BRAMPTON WEST),ON - Brampton,Brampton,Ontario,Part Time,,1785285440,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/BRAMPTON-WEST-STORE---7301/Sales-Associate---Part-Time--BRAMPTON-WEST-_Req188321/apply?source=Careers.Homedepot.ca
Req185221,Replenishment Analyst (For Future Opportunities),ON - Toronto,Toronto,Ontario,Other,,1782487589,"{'name': 'The Home Depot Canada', 'key': 'hd', 'logo': '/build/images/static/logo.8eb14c19.png', 'icon': '/build/images/static/logo.8eb14c19.png'}",,https://homedepot.wd5.myworkdayjobs.com/CareerDepotCanada/job/CANADA-STORE-SUPPORT-CENTER---7000/Replenishment-Analyst_Req185221/apply?source=Careers.Homedepot.ca
